Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Coleoptera,Curculionidae,TRUE,NonTarget,Terrestrial,DNI,DNI,DNI,DNI,114666,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Curculionidae,,,,,,,,,
Other Non-Insect,Cyclopidae,TRUE,NonTarget,Generally excluded in lotic benthic samples,DNI,DNI,DNI,DNI,88530,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,,,,,,,,,,,
Other Non-Insect,Cyclopoida,TRUE,NonTarget,Generally excluded in lotic benthic samples,DNI,DNI,DNI,DNI,88530,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,,,,,,,,,,,
Coleoptera,Cylloepus,FALSE,yes,OUT of RANGE,DNI,Elmidae,DNI,DNI,114208,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,Elminae,Elmini,,Cylloepus,,,,,
Coleoptera,Cymbiodyta,FALSE,no,,Hydrophilidae,Cymbiodyta,Cymbiodyta,Hydrophilidae,113017,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Hydrophilini,,Cymbiodyta,,,,,
Trichoptera,Cyrnellus,FALSE,yes,,DNI,Polycentropodidae,Polycentropodidae,DNI,117043,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Polycentropodidae,,,,,,,,,
Other Non-Insect,Cystobranchus salmositicus,FALSE,no,,Hirudinida,Cystobranchus salmositicus,Cystobranchus salmositicus,Hirudinida,69309,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,Piscicolinae,,,Cystobranchus,,,,,salmositicus
Diptera,Dactylolabis,FALSE,no,,DNI,Dactylolabis,Dactylolabis,DNI,120049,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Dactylolabinae,,,Dactylolabis,,,,,
Other Non-Insect,Daphnia,TRUE,NonTarget,Cladocera excluded,DNI,DNI,DNI,DNI,,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Diplostraca,Cladocera,,Daphniidae,,,,,,,,,
Other Non-Insect,Daphnia pulex,TRUE,NonTarget,Cladocera excluded,DNI,DNI,DNI,DNI,,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Diplostraca,Cladocera,,Daphniidae,,,,,,,,,
Other Non-Insect,Daphniidae,TRUE,NonTarget,Cladocera excluded,DNI,DNI,DNI,DNI,83872,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Diplostraca,Cladocera,,Daphniidae,,,,,,,,,
Diptera,Dasyhelea,FALSE,no,,Dasyhelea,Dasyhelea,Dasyhelea,DNI,127278,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Dasyheleinae,,,Dasyhelea,,,,,
Diptera,Dasyheleinae,FALSE,yes,,Dasyhelea,Dasyhelea,Dasyhelea,DNI,127278,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Dasyheleinae,,,Dasyhelea,,,,,
