Taxon_AttributeTable,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Ephemerella tibialis,FALSE,4,CG,uni,RHEO,,FALSE,cool,,17.11673253,20.535,,,101401,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Ephemerella,Vittapallia,,,,tibialis,Ephemeroptera
Ephemerella verruca,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Ephemerella,,,,,verruca,Ephemeroptera
Ephemerellidae,FALSE,3,CG,uni,RHEO,,FALSE,cool,,15.7177632,21.425,,yes,101232,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,,,,,,,Ephemeroptera
Ephemeridae,FALSE,NA,CG,semi,GENE,,,,Less30,,,,,101525,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemeridae,,,,,,,,,,Ephemeroptera
Ephemeroptera,FALSE,,,,,,FALSE,eurythermal,,16.65900343,22.421,,,100502,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,,,,,,,,,,,,,Ephemeroptera
Ephoron,FALSE,,,,,,,,Less30,,,,,101570,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Polymitarcyidae,,,,Ephoron,,,,,,Ephemeroptera
Ephydridae,FALSE,4,CG,multi,GENE,,FALSE,warm,,23.29080332,24.706,,,146893,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Ephydridae,,,,,,,,,,Diptera
Epiphragma,FALSE,,,,,,,,,,,,,120081,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limnophilinae,,,Epiphragma,,,,,,Diptera
Epitheca,FALSE,,,,,,,,,,,,,102035,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Corduliidae,Corduliinae,,,Epitheca,,,,,,Odonata
Epoicocladius,FALSE,,,,,,,,,,,,,128682,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Epoicocladius,,,,,,Chironomidae
