Taxon_Orig,Rank,Appendix E target,Modified,Rationale,OTU_BCG,OTU_IBI
Gyrinus aeneolus,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus affinis,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus analis,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus aquiris,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus bifarius,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus confinis,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus dichrous,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus latilimbus,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus lecontei,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus maculiventris,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus marginellus,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus pugionis,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Gyrinus ventralis,Species,genus,yes,level of taxonomic resolution,Gyrinus,Gyrinus
Habrophlebia,Genus,genus,no,,Habrophlebia,Habrophlebia
Habrophlebia vibrans,Species,genus,yes,level of taxonomic resolution,Habrophlebia,Habrophlebia
Habrophlebiodes,Genus,genus,no,,Habrophlebiodes,Habrophlebiodes
Habrophlebiodes americana,Species,genus,yes,level of taxonomic resolution,Habrophlebiodes,Habrophlebiodes
Haemopis,Genus,genus,no,,Haemopis,Haemopis
Haemopis marmorata,Species,genus,yes,level of taxonomic resolution,Haemopis,Haemopis
Hagenius,Genus,genus,no,,Hagenius,Hagenius
Hagenius brevistylus,Species,genus,yes,level of taxonomic resolution,Hagenius,Hagenius
Haliplidae,Family,genus,no,,Haliplidae,Haliplidae
Haliplus,Genus,genus,no,,Haliplus,Haliplus
Haliplus borealis,Species,genus,yes,level of taxonomic resolution,Haliplus,Haliplus
Haliplus immaculicolis,Species,genus,yes,level of taxonomic resolution,Haliplus,Haliplus
Haliplus immaculicollis,Species,genus,yes,level of taxonomic resolution,Haliplus,Haliplus
Hansonoperla,Genus,genus,no,,Hansonoperla,Hansonoperla
Haploperla,Genus,genus,no,,Haploperla,Haploperla
Haplotaxida,Order,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Haplotaxidae,Family,class,no,,Haplotaxidae,Haplotaxidae
Haplotaxis,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Harnischia,Genus,genus,no,,Harnischia,Harnischia
Hayesomyia,Genus,genus,no,,Hayesomyia,Hayesomyia
Hebridae,Family,genus,no,,Hebridae,Hebridae
Hebrus,Genus,genus,no,,Hebrus,Hebrus
Hedriodiscus/Odontomyia,Genus,genus,no,,Hedriodiscus/Odontomyia,Hedriodiscus/Odontomyia
Heleniella,Genus,genus,no,,Heleniella,Heleniella
Helichus,Genus,genus,no,,Helichus,Helichus
Helichus basalis,Species,genus,yes,level of taxonomic resolution,Helichus,Helichus
Helichus fastigiatus,Species,genus,yes,level of taxonomic resolution,Helichus,Helichus
Helichus lithophilus,Species,genus,yes,level of taxonomic resolution,Helichus,Helichus
Helichus striatus,Species,genus,yes,level of taxonomic resolution,Helichus,Helichus
Helicopsyche,Genus,genus,no,,Helicopsyche,Helicopsyche
Helicopsyche borealis,Species,genus,yes,level of taxonomic resolution,Helicopsyche,Helicopsyche
Helicopsychidae,Family,genus,no,,Helicopsychidae,Helicopsychidae
Helisoma,Genus,genus,no,,Helisoma,Helisoma
Helisoma anceps,Species,genus,yes,level of taxonomic resolution,Helisoma,Helisoma
Helius,Genus,genus,no,,Helius,Helius
Helobdella,Genus,genus,no,,Helobdella,Helobdella
Helobdella elongata,Species,genus,yes,level of taxonomic resolution,Helobdella,Helobdella
Helobdella papillata,Species,genus,yes,level of taxonomic resolution,Helobdella,Helobdella
Helobdella stagnalis,Species,genus,yes,level of taxonomic resolution,Helobdella,Helobdella
Helochares,Genus,genus,no,,Helochares,Helochares
Helocombus,Genus,genus,no,,Helocombus,Helocombus
Helocombus bifidus,Species,genus,yes,level of taxonomic resolution,Helocombus,Helocombus
Helocordulia,Genus,genus,no,,Helocordulia,Helocordulia
Helopelopia,Genus,genus,no,,Helopelopia,Helopelopia
Helophoridae,Family,genus,no,,Helophoridae,Helophoridae
Helophorus,Genus,genus,no,,Helophorus,Helophorus
Helophorus (female),Genus,genus,yes,syntax,Helophorus,Helophorus
Hemerodromia,Genus,genus,no,,Hemerodromia,Hemerodromia
Hemerodromia albiseta,Species,genus,yes,level of taxonomic resolution,Hemerodromia,Hemerodromia
Hemerodromiinae,Subfamily,genus,no,,Hemerodromiinae,Hemerodromiinae
Hemiptera,Order,genus,no,,Hemiptera,Hemiptera
Heptagenia,Genus,genus,no,,Heptagenia,Heptagenia
Heptagenia culacantha,Species,genus,yes,level of taxonomic resolution,Heptagenia,Heptagenia
Heptagenia diabasia,Species,genus,yes,level of taxonomic resolution,Heptagenia,Heptagenia
Heptagenia elegantula,Species,genus,yes,level of taxonomic resolution,Heptagenia,Heptagenia
Heptagenia flavescens,Species,genus,yes,level of taxonomic resolution,Heptagenia,Heptagenia
Heptagenia pulla,Species,genus,yes,level of taxonomic resolution,Heptagenia,Heptagenia
Heptageniidae,Family,genus,no,,Heptageniidae,Heptageniidae
Hesperoconopa,Genus,genus,no,,Hesperoconopa,Hesperoconopa
Hesperocorixa,Genus,genus,no,,Hesperocorixa,Hesperocorixa
Hesperocorixa atopodonta,Species,genus,yes,level of taxonomic resolution,Hesperocorixa,Hesperocorixa
Hesperocorixa kennicotti,Species,genus,yes,level of taxonomic resolution,Hesperocorixa,Hesperocorixa
Hesperocorixa kennicottii,Species,genus,yes,level of taxonomic resolution,Hesperocorixa,Hesperocorixa
Hesperocorixa michiganensis,Species,genus,yes,level of taxonomic resolution,Hesperocorixa,Hesperocorixa
Hesperocorixa minorella,Species,genus,yes,level of taxonomic resolution,Hesperocorixa,Hesperocorixa
Hesperocorixa vulgaris,Species,genus,yes,level of taxonomic resolution,Hesperocorixa,Hesperocorixa
Hesperoperla,Genus,genus,no,,Hesperoperla,Hesperoperla
Hesperophylax,Genus,genus,no,,Hesperophylax,Hesperophylax
Hesperophylax designatus,Species,genus,yes,level of taxonomic resolution,Hesperophylax,Hesperophylax
Hetaerina,Genus,genus,no,,Hetaerina,Hetaerina
Hetaerina americana,Species,genus,yes,level of taxonomic resolution,Hetaerina,Hetaerina
Hetaerina titia,Species,genus,yes,level of taxonomic resolution,Hetaerina,Hetaerina
Heterelmis,Genus,genus,no,,Heterelmis,Heterelmis
Heterlimnius,Genus,genus,no,,Heterlimnius,Heterlimnius
Heteroceridae,Family,genus,no,,Heteroceridae,Heteroceridae
Heterocloeon,Genus,genus,no,,Heterocloeon,Heterocloeon
Heterocloeon curiosum,Species,genus,yes,level of taxonomic resolution,Heterocloeon,Heterocloeon
Heteroplectron,Genus,genus,no,,Heteroplectron,Heteroplectron
Heteroplectron americanum,Species,genus,yes,level of taxonomic resolution,Heteroplectron,Heteroplectron
Heteroptera,SubOrder,genus,no,,Heteroptera,Heteroptera
Heterosternuta,Genus,genus,no,,Heterosternuta,Heterosternuta
Heterotanytarsus,Genus,genus,no,,Heterotanytarsus,Heterotanytarsus
Heterotrissocladius,Genus,genus,no,,Heterotrissocladius,Heterotrissocladius
Heterotrissocladius marcidus Gr.,Genus,genus,yes,level of taxonomic resolution,Heterotrissocladius,Heterotrissocladius
Hexacylloepus,Genus,genus,no,,Hexacylloepus,Hexacylloepus
Hexagenia,Genus,genus,no,,Hexagenia,Hexagenia
Hexagenia bilineata,Species,genus,yes,level of taxonomic resolution,Hexagenia,Hexagenia
Hexagenia limbata,Species,genus,yes,level of taxonomic resolution,Hexagenia,Hexagenia
Hexatoma,Genus,genus,no,,Hexatoma,Hexatoma
Hexatoma spinosa,Species,genus,yes,level of taxonomic resolution,Hexatoma,Hexatoma
Hilara,Genus,genus,no,,Hilara,Hilara
Hirudinea,Class,genus,no,,Hirudinea,Hirudinea
Hirudinidae,Family,genus,no,,Hirudinidae,Hirudinidae
Holocentropus,Genus,genus,no,,Holocentropus,Holocentropus
Holorusia,Genus,genus,no,,Holorusia,Holorusia
Homoeoneuria,Genus,genus,no,,Homoeoneuria,Homoeoneuria
Hudsonimyia,Genus,genus,no,,Hudsonimyia,Hudsonimyia
Hyalella,Genus,genus,no,,Hyalella,Hyalella
Hyalella azteca,Species,genus,yes,level of taxonomic resolution,Hyalella,Hyalella
Hyalellidae,Family,genus,no,,Hyalellidae,Hyalellidae
Hybomitra,Genus,genus,no,,Hybomitra,Hybomitra
Hydaticus,Genus,genus,no,,Hydaticus,Hydaticus
Hydatophylax,Genus,genus,no,,Hydatophylax,Hydatophylax
Hydatophylax argus,Species,genus,yes,level of taxonomic resolution,Hydatophylax,Hydatophylax
Hydra,Genus,Class,yes,level of taxonomic resolution,Hydrozoa,Hydrozoa
Hydracarina,SubOrder,subclass,yes,level of taxonomic resolution,Acari,Acari
Hydrachna,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Hydrachnidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Hydraena,Genus,genus,no,,Hydraena,Hydraena
Hydraena (female),Genus,genus,yes,syntax,Hydraena,Hydraena
Hydraena angulicollis,Species,genus,yes,level of taxonomic resolution,Hydraena,Hydraena
Hydraena pennsylvanica,Species,genus,yes,level of taxonomic resolution,Hydraena,Hydraena
Hydraena pensylvanica,Species,genus,yes,level of taxonomic resolution,Hydraena,Hydraena
Hydraenidae,Family,genus,no,,Hydraenidae,Hydraenidae
Hydrellia,Genus,genus,no,,Hydrellia,Hydrellia
Hydridae,Family,Class,no,,Hydridae,Hydridae
Hydrobaenus,Genus,genus,no,,Hydrobaenus,Hydrobaenus
Hydrobatidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Hydrobiidae,Family,genus,no,,Hydrobiidae,Hydrobiidae
Hydrobiomorpha,Genus,genus,no,,Hydrobiomorpha,Hydrobiomorpha
Hydrobius,Genus,genus,no,,Hydrobius,Hydrobius
Hydrobius fuscipes,Species,genus,yes,level of taxonomic resolution,Hydrobius,Hydrobius
Hydrocanthus,Genus,genus,no,,Hydrocanthus,Hydrocanthus
Hydrochara,Genus,genus,no,,Hydrochara,Hydrochara
Hydrochidae,Family,genus,no,,Hydrochidae,Hydrochidae
Hydrochus,Genus,genus,no,,Hydrochus,Hydrochus
Hydrocolus,Genus,genus,no,,Hydrocolus,Hydrocolus
Hydrocolus paugus,Species,genus,yes,level of taxonomic resolution,Hydrocolus,Hydrocolus
Hydrodroma,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Hydrodromidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Hydrometra,Genus,genus,no,,Hydrometra,Hydrometra
Hydrometra martini,Species,genus,yes,level of taxonomic resolution,Hydrometra,Hydrometra
Hydrometridae,Family,genus,no,,Hydrometridae,Hydrometridae
Hydrophilidae,Family,genus,no,,Hydrophilidae,Hydrophilidae
Hydrophilus,Genus,genus,no,,Hydrophilus,Hydrophilus
Hydroporinae,Subfamily,genus,no,,Hydroporinae,Hydroporinae
Hydroporini,Tribe,genus,no,,Hydroporini,Hydroporini
Hydroporus,Genus,genus,no,,Hydroporus,Hydroporus
Hydroporus ouachitus,Species,genus,yes,level of taxonomic resolution,Hydroporus,Hydroporus
Hydroporus/Hygrotus,Genus,genus,no,,Hydroporus/Hygrotus,Hydroporus/Hygrotus
Hydropsyche,Genus,genus,no,,Hydropsyche,Hydropsyche
Hydropsyche aerata,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche alhedra,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Hydropsyche betteni,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche betteni/depravata,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche bidens,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche bidens/orris,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche bronta,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche cuanis,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche decalda,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche demora,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche depravata,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche dicantha,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche elissoma,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche frisoni,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche hageni,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche hoffmani,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche incommoda,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche leonardi,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche mississippiensis,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche morosa,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche occipitalis,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche orris,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche phalerata,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche placoda,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche placoda/scalaris,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche rossi,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche rossi/simulans,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche scalaris,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche simulans,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche slossonae,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Hydropsyche sparna,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Hydropsyche valanis,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche venularis,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsyche vexa,Species,genus,yes,level of taxonomic resolution,Hydropsyche,Hydropsyche
Hydropsychidae,Family,genus,no,,Hydropsychidae,Hydropsychidae
Hydropsychinae,Subfamily,genus,no,,Hydropsychinae,Hydropsychinae
Hydroptila,Genus,genus,no,,Hydroptila,Hydroptila
Hydroptila albicornis,Species,genus,yes,level of taxonomic resolution,Hydroptila,Hydroptila
Hydroptila angusta,Species,genus,yes,level of taxonomic resolution,Hydroptila,Hydroptila
Hydroptila consimilis,Species,genus,yes,level of taxonomic resolution,Hydroptila,Hydroptila
Hydroptila grandiosa,Species,genus,yes,level of taxonomic resolution,Hydroptila,Hydroptila
Hydroptila gunda,Species,genus,yes,level of taxonomic resolution,Hydroptila,Hydroptila
Hydroptila hamata,Species,genus,yes,level of taxonomic resolution,Hydroptila,Hydroptila
Hydroptila perdita,Species,genus,yes,level of taxonomic resolution,Hydroptila,Hydroptila
Hydroptila spatulata,Species,genus,yes,level of taxonomic resolution,Hydroptila,Hydroptila
Hydroptila waubesiana,Species,genus,yes,level of taxonomic resolution,Hydroptila,Hydroptila
Hydroptilidae,Family,genus,no,,Hydroptilidae,Hydroptilidae
Hydrosmittia,Genus,genus,no,,Hydrosmittia,Hydrosmittia
Hydrovatus,Genus,genus,no,,Hydrovatus,Hydrovatus
Hydrozetidae,Family,,yes,non target,DNI,DNI
Hydrozoa,Class,Class,no,,Hydrozoa,Hydrozoa
Hydryphantidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Hydryphantoidea,SubOrder,subclass,yes,level of taxonomic resolution,Acari,Acari
Hygrobates,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Hygrobatidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Hygrotus,Genus,genus,no,,Hygrotus,Hygrotus
Hylogomphus,Genus,genus,no,,Hylogomphus,Hylogomphus
Hylogomphus viridifrons,Species,genus,yes,level of taxonomic resolution,Hylogomphus,Hylogomphus
Hymenoptera,Order,genus,no,,Hymenoptera,Hymenoptera
Hyporhygma,Genus,genus,no,,Hyporhygma,Hyporhygma
Hyporhygma quadripunctatus,Species,genus,yes,level of taxonomic resolution,Hyporhygma,Hyporhygma
Ilybiosoma,Genus,genus,no,,Ilybiosoma,Ilybiosoma
Ilybiosoma seriatum,Species,genus,yes,level of taxonomic resolution,Ilybiosoma,Ilybiosoma
Ilybius,Genus,genus,no,,Ilybius,Ilybius
Ilyodrilus,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Ilyodrilus templetoni,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
immature tubificine without hairs,,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Ironoquia,Genus,genus,no,,Ironoquia,Ironoquia
Ischnura,Genus,genus,no,,Ischnura,Ischnura
Ischnura posita,Species,genus,yes,level of taxonomic resolution,Ischnura,Ischnura
Ischnura verticalis,Species,genus,yes,level of taxonomic resolution,Ischnura,Ischnura
Isochaetides,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Isochaetides curvisetosus,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Isogenoides,Genus,genus,no,,Isogenoides,Isogenoides
Isonychia,Genus,genus,no,,Isonychia,Isonychia
Isonychia bicolor,Species,genus,yes,level of taxonomic resolution,Isonychia,Isonychia
Isonychia rufa,Species,genus,yes,level of taxonomic resolution,Isonychia,Isonychia
Isonychia sicca,Species,genus,yes,level of taxonomic resolution,Isonychia,Isonychia
Isonychiidae,Family,genus,no,,Isonychiidae,Isonychiidae
Isoperla,Genus,genus,no,,Isoperla,Isoperla
Isoperla holochlora,Species,genus,yes,level of taxonomic resolution,Isoperla,Isoperla
Isoperla signata,Species,genus,yes,level of taxonomic resolution,Isoperla,Isoperla
Isoperla slossonae,Species,genus,yes,level of taxonomic resolution,Isoperla,Isoperla
Isoperla transmarina,Species,genus,yes,level of taxonomic resolution,Isoperla,Isoperla
Isoperla/Clioperla,Genus,genus,no,,Isoperla/Clioperla,Isoperla/Clioperla
Isopoda,Order,genus,no,,Isopoda,Isopoda
Isotomidae,Family,order,yes,level of taxonomic resolution,Collembola,Collembola
Isotomurus,Genus,order,no,level of taxonomic resolution,Collembola,Collembola
Iswaeon,Genus,genus,no,,Iswaeon,Iswaeon
Iswaeon anoka,Species,genus,yes,level of taxonomic resolution,Iswaeon,Iswaeon
Ithytrichia,Genus,genus,no,,Ithytrichia,Ithytrichia
Ithytrichia clavata,Species,genus,yes,level of taxonomic resolution,Ithytrichia,Ithytrichia
Kiefferulus,Genus,genus,no,,Kiefferulus,Kiefferulus
Kloosia,Genus,genus,no,,Kloosia,Kloosia
Kloosia/Harnischia,Genus,genus,no,,Kloosia/Harnischia,Kloosia/Harnischia
Koenikea,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Krendowskiidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Krenopelopia,Genus,genus,no,,Krenopelopia,Krenopelopia
Krenopsectra/Micropsectra,Genus,genus,no,,Krenopsectra/Micropsectra,Krenopsectra/Micropsectra
Krenosmittia,Genus,genus,no,,Krenosmittia,Krenosmittia
Kribiodorum,Genus,genus,no,,Kribiodorum,Kribiodorum
Kribiodorum perpulchrum,Species,genus,yes,level of taxonomic resolution,Kribiodorum,Kribiodorum
Labiobaetis,Genus,genus,no,,Labiobaetis,Labiobaetis
Labiobaetis dardanus,Species,genus,yes,level of taxonomic resolution,Labiobaetis,Labiobaetis
Labiobaetis frondalis,Species,genus,yes,level of taxonomic resolution,Labiobaetis,Labiobaetis
Labiobaetis longipalpus,Species,genus,yes,level of taxonomic resolution,Labiobaetis,Labiobaetis
Labiobaetis propinquus,Species,genus,yes,level of taxonomic resolution,Labiobaetis,Labiobaetis
Labrundinia,Genus,genus,no,,Labrundinia,Labrundinia
Labrundinia becki,Species,genus,yes,level of taxonomic resolution,Labrundinia,Labrundinia
Labrundinia pilosella,Species,genus,yes,level of taxonomic resolution,Labrundinia,Labrundinia
Labrundinia/Nilotanypus,Genus,genus,no,,Labrundinia/Nilotanypus,Labrundinia/Nilotanypus
Laccobius,Genus,genus,no,,Laccobius,Laccobius
Laccobius spangleri,Species,genus,yes,level of taxonomic resolution,Laccobius,Laccobius
Laccophilus,Genus,genus,no,,Laccophilus,Laccophilus
Laccophilus maculosus,Species,genus,yes,level of taxonomic resolution,Laccophilus,Laccophilus
Lachlania,Genus,genus,no,,Lachlania,Lachlania
Lacunicambarus,Genus,genus,no,,Lacunicambarus,Lacunicambarus
Lacunicambarus diogenes,Species,genus,yes,level of taxonomic resolution,Lacunicambarus,Lacunicambarus
Laevapex,Genus,genus,no,,Laevapex,Laevapex
Laevapex fuscus,Species,genus,yes,level of taxonomic resolution,Laevapex,Laevapex
Lampsilis,Genus,genus,no,,Lampsilis,Lampsilis
Lampyridae,Family,genus,no,,Lampyridae,Lampyridae
Lanthus,Genus,genus,no,,Lanthus,Lanthus
Larsia,Genus,genus,no,,Larsia,Larsia
Lasiodiamesa,Genus,genus,no,,Lasiodiamesa,Lasiodiamesa
Lauterborniella,Genus,genus,no,,Lauterborniella,Lauterborniella
Lauterborniella agrayloides,Species,genus,yes,level of taxonomic resolution,Lauterborniella,Lauterborniella
Lebertia,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Lebertiidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Lepidoptera,Order,genus,no,,Lepidoptera,Lepidoptera
Lepidostoma,Genus,genus,no,,Lepidostoma,Lepidostoma
Lepidostomatidae,Family,genus,no,,Lepidostomatidae,Lepidostomatidae
Leptoceridae,Family,genus,no,,Leptoceridae,Leptoceridae
Leptocerus,Genus,genus,no,,Leptocerus,Leptocerus
Leptocerus americanus,Species,genus,yes,level of taxonomic resolution,Leptocerus,Leptocerus
Leptodea,Genus,genus,no,,Leptodea,Leptodea
Leptohyphes,Genus,genus,no,,Leptohyphes,Leptohyphes
Leptohyphidae,Family,genus,no,,Leptohyphidae,Leptohyphidae
Leptophlebia,Genus,genus,no,,Leptophlebia,Leptophlebia
Leptophlebia bradleyi,Species,genus,yes,level of taxonomic resolution,Leptophlebia,Leptophlebia
Leptophlebia cupida,Species,genus,yes,level of taxonomic resolution,Leptophlebia,Leptophlebia
Leptophlebiidae,Family,genus,no,,Leptophlebiidae,Leptophlebiidae
Leptoxis,Genus,genus,no,,Leptoxis,Leptoxis
Leptoxis carinata,Species,genus,yes,level of taxonomic resolution,Leptoxis,Leptoxis
Lestes,Genus,genus,no,,Lestes,Lestes
Lestes inaequalis,Species,genus,yes,level of taxonomic resolution,Lestes,Lestes
Lestidae,Family,genus,no,,Lestidae,Lestidae
Lethocerus,Genus,genus,no,,Lethocerus,Lethocerus
Lethocerus americanus,Species,genus,yes,level of taxonomic resolution,Lethocerus,Lethocerus
Leucorrhinia,Genus,genus,no,,Leucorrhinia,Leucorrhinia
Leucorrhinia frigida,Species,genus,yes,level of taxonomic resolution,Leucorrhinia,Leucorrhinia
Leucorrhinia intacta,Species,genus,yes,level of taxonomic resolution,Leucorrhinia,Leucorrhinia
Leucotrichia,Genus,genus,no,,Leucotrichia,Leucotrichia
Leucotrichia pictipes,Species,genus,yes,level of taxonomic resolution,Leucotrichia,Leucotrichia
Leucrocuta,Genus,genus,no,,Leucrocuta,Leucrocuta
Leucrocuta hebe,Species,genus,yes,level of taxonomic resolution,Leucrocuta,Leucrocuta
Leucrocuta maculipennis,Species,genus,yes,level of taxonomic resolution,Leucrocuta,Leucrocuta
Leucrocuta/Nixe,Genus,genus,no,,Leucrocuta/Nixe,Leucrocuta/Nixe
Leuctra,Genus,genus,no,,Leuctra,Leuctra
Leuctridae,Family,genus,no,,Leuctridae,Leuctridae
Libellula,Genus,genus,no,,Libellula,Libellula
Libellula pulchella,Species,genus,yes,level of taxonomic resolution,Libellula,Libellula
Libellula quadrimaculata,Species,genus,yes,level of taxonomic resolution,Libellula,Libellula
Libellulidae,Family,genus,no,,Libellulidae,Libellulidae
Libellulinae,Order,genus,no,,Libellulinae,Libellulinae
Ligumia,Genus,genus,no,,Ligumia,Ligumia
Limnephilidae,Family,genus,no,,Limnephilidae,Limnephilidae
Limnephilidae (too immature),Family,genus,yes,syntax,Limnephilidae,Limnephilidae
Limnephiloidea,SubOrder,genus,no,,Limnephiloidea,Limnephiloidea
Limnephilus,Genus,genus,no,,Limnephilus,Limnephilus
Limnephilus indivisus,Species,genus,yes,level of taxonomic resolution,Limnephilus,Limnephilus
Limnesia,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Limnesiidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Limnochares,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Limnocharidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Limnodrilus,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Limnodrilus cervix,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Limnodrilus hoffmeisteri,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Limnodrilus udekemianus,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Limnohydrobius,Genus,genus,no,,Limnohydrobius,Limnohydrobius
Limnophila,Genus,genus,no,,Limnophila,Limnophila
Limnophila (Animalia),Genus,genus,yes,syntax,Limnophila,Limnophila
Limnophora,Genus,genus,no,,Limnophora,Limnophora
Limnophyes,Genus,genus,no,,Limnophyes,Limnophyes
Limnoporus,Genus,genus,no,,Limnoporus,Limnoporus
Limnoporus dissortis,Species,genus,yes,level of taxonomic resolution,Limnoporus,Limnoporus
Limonia,Genus,genus,no,,Limonia,Limonia
Limoniidae,Family,genus,no,,Limoniidae,Limoniidae
Limoniinae,Subfamily,genus,no,,Limoniinae,Limoniinae
Liodessus,Genus,genus,no,,Liodessus,Liodessus
Liodessus affinis,Species,genus,yes,level of taxonomic resolution,Liodessus,Liodessus
Lioporeus,Genus,genus,no,,Lioporeus,Lioporeus
Lioporeus pilatei,Species,genus,yes,level of taxonomic resolution,Lioporeus,Lioporeus
Lipsothrix,Genus,genus,no,,Lipsothrix,Lipsothrix
Lirceus,Genus,genus,no,,Lirceus,Lirceus
Listronotus,Genus,genus,no,,Listronotus,Listronotus
Litobrancha,Genus,genus,no,,Litobrancha,Litobrancha
Litobrancha recurvata,Species,genus,yes,level of taxonomic resolution,Litobrancha,Litobrancha
Lixus,Genus,genus,no,,Lixus,Lixus
Lopescladius,Genus,genus,no,,Lopescladius,Lopescladius
Lopescladius/Rheosmittia,Genus,genus,no,,Lopescladius/Rheosmittia,Lopescladius/Rheosmittia
Lumbricidae,Family,class,no,,Lumbricidae,Lumbricidae
Lumbricina,SubOrder,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
