TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,Taxon_Group,TSN,Synonyms,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon Authority,Taxon Authority Source,Tetra Tech AddIn,TolVal_NE,FFG_NE,Habit_NE,BenTaxaID
FAXONIUS VIRILIS,FALSE,4,4_middle,"CG,SH",SP,,,,FALSE,Other Non-Insect,1133797,,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,,FAXONIUS,,,,,VIRILIS,"(Hagen, 1870)",Other,,8,Scraper,Sprawler,1498
FERRISSIA,FALSE,4,4_middle,SC,CB,,,,FALSE,Other Non-Insect,76569,,ANIMALIA,MOLLUSCA,,GASTROPODA,,BASOMMATOPHORA,,,PLANORBIDAE,,,,FERRISSIA,,,,,,"Walker, 1903",ITIS,,8,Scraper,Clinger,2194
FORCIPOMYIINAE,FALSE,4,4_middle,"SC,PR","BU,SP",SG,snag,uni,FALSE,Diptera,127112,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CERATOPOGONIDAE,FORCIPOMYIINAE,,,,,,,,,"Enderlein, 1936",Other,,6,Scraper,Sprawler,14629
FRIDERICIA,FALSE,,,,,,,,FALSE,Oligochaeta,204785,,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,ENCHYTRAEIDA,,,ENCHYTRAEIDAE,,,,FRIDERICIA,,,,,,"Michaelsen, 1889",ITIS,,9,Collector,Burrower,6556
FUSCONAIA FLAVA,FALSE,,,,,,,,FALSE,Other Non-Insect,80041,,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,AMBLEMINAE,PLEUROBEMINI,,FUSCONAIA,,,,,FLAVA,"(Rafinesque, 1820)",ITIS,,4,Filterer,Burrower,2223
GALBA,FALSE,,,,,,,,FALSE,Other Non-Insect,,Fossaria,ANIMALIA,MOLLUSCA,,GASTROPODA,,BASOMMATOPHORA,,,LYMNAEIDAE,,,,GALBA,,,,,,"Schrank, 1803",Other,,2,Scraper,Sprawler,14446
GALERUCELLA,FALSE,,,SH,SP,,,multi,FALSE,Coleoptera,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,CHRYSOMELIDAE,,,,GALERUCELLA,,,,,,,,yes,6,Shredder,Sprawler,1511
GAMMARIDAE,FALSE,4,4_middle,CG,SP,,,uni,FALSE,Other Non-Insect,93745,,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,AMPHIPODA,GAMMARIDEA,,GAMMARIDAE,,,,,,,,,,"Latreille, 1802",ITIS,,3,Collector,Swimmer,1490
GAMMARUS,FALSE,4,4_middle,CG,SP,,,uni,FALSE,Other Non-Insect,93773,,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,AMPHIPODA,GAMMARIDEA,,GAMMARIDAE,,,,GAMMARUS,,,,,,"J. C. Fabricius, 1775",ITIS,,3,Collector,Swimmer,1489
GASTROPODA,FALSE,,,SC,CB,,,,FALSE,Other Non-Insect,69459,,ANIMALIA,MOLLUSCA,,GASTROPODA,,,,,,,,,,,,,,,"Cuvier, 1797",ITIS,,8,Scraper,Sprawler,2210
GELASTOCORIDAE,FALSE,,,,,,,,TRUE,Heteroptera,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,GELASTOCORIDAE,,,,,,,,,,,,yes,8,Predator,Skater,2034
GERRIDAE,FALSE,4,4_middle,PR,SK,,,uni,TRUE,Heteroptera,103801,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,GERRIDAE,,,,,,,,,,"Leach, 1815",ITIS,,8,Predator,Skater,2042
GERRIS,FALSE,4,4_middle,PR,SK,,,multi,TRUE,Heteroptera,103829,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,GERRIDAE,GERRINAE,,,GERRIS,,,,,,"Fabricius, 1794",ITIS,,8,Predator,Skater,2035
GILLOTIA,FALSE,,,,,,,,FALSE,Chironomidae,129480,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,GILLOTIA,,,,,,"Kieffer, 1921",ITIS,,6,Collector,Burrower,4025
GLOSSIPHONIA,FALSE,4,4_worse,PR,SP,,,,FALSE,Other Non-Insect,69380,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,GLOSSIPHONIINAE,,,GLOSSIPHONIA,,,,,,"Johnson, 1817",ITIS,,6,Predator,Clinger,1389
GLOSSIPHONIA ELEGANS,FALSE,4,4_worse,,,,,,FALSE,Other Non-Insect,,Glossiphonia complanata,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,GLOSSIPHONIINAE,,,GLOSSIPHONIA,,,,,ELEGANS,"(Verrill, 1872)",Other,,6,Predator,Clinger,15744
GLOSSIPHONIIDAE,FALSE,4,4_worse,PR,SP,,,"multi,uni",FALSE,Other Non-Insect,69357,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,,,,,,,,,,"Vaillant, 1890",ITIS,,8,Predator,Swimmer,187
GLOSSOSOMA,FALSE,3,,SC,CN,,,multi,FALSE,Trichoptera,117159,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,GLOSSOSOMATIDAE,GLOSSOSOMATINAE,GLOSSOSOMATINI,,GLOSSOSOMA,,,,,,"Curtis, 1834",ITIS,,0,Scraper,Clinger,1773
GLYPTOTENDIPES,FALSE,4,4_worse,"SH,CG,CF",BU,SG,snag,uni,FALSE,Chironomidae,129483,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,GLYPTOTENDIPES,,,,,,"Kieffer, 1913",Other,,10,Filterer,Burrower,1646
GOELDICHIRONOMUS,FALSE,4,4_middle,CG,BU,SG,snag,,FALSE,Chironomidae,129506,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,GOELDICHIRONOMUS,,,,,,"Fittkau, 1965",Other,,10,Collector,Burrower,1647
