TAXAID,COMMONNAME,FAMILY,newFAMILY,GENUS,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION,TYPE,SCC,SCC_Summary,USGS_range,Thermal_indicator,CONNECTIVITY
POMOXIS ANNULARIS,WHITE CRAPPIE,CENTRARCHIDAE,,POMOXIS,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=408,warm,FALSE
PYLODICTIS OLIVARIS,FLATHEAD CATFISH,ICTALURIDAE,,PYLODICTIS,4,IV,4_BETTER,IVa,4,NATIVE,TC,,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=750,warm,FALSE
AMEIURUS,BULLHEADS,ICTALURIDAE,,AMEIURUS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,,,FALSE,,,eurythermal,FALSE
AMEIURUS MELAS,BLACK BULLHEAD,ICTALURIDAE,,AMEIURUS,5,V,5_MIDDLE,V,5,NATIVE,OM,,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=730,eurythermal,FALSE
AMEIURUS NATALIS,YELLOW BULLHEAD,ICTALURIDAE,,AMEIURUS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=733,eurythermal,FALSE
CAMPOSTOMA,STONEROLLERS,CYPRINIDAE,LEUCISCIDAE,CAMPOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,HB,F,LITHOPHIL,,FALSE,,,eurythermal,FALSE
CAMPOSTOMA ANOMALUM,CENTRAL STONEROLLER,CYPRINIDAE,LEUCISCIDAE,CAMPOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,HB,F,SIMPLE NEST; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=506,eurythermal,FALSE
CATOSTOMIDAE,SUCKER,CATOSTOMIDAE,,CATOSTOMIDAE,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,LITHOPHIL,,FALSE,,,eurythermal,FALSE
CATOSTOMUS COMMERSONII,WHITE SUCKER,CATOSTOMIDAE,,CATOSTOMUS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=346,eurythermal,FALSE
CYPRINIDAE,CYPRINIDAE,CYPRINIDAE,CYPRINIDAE OR XENOCYPRIDIDAE OR LEUCISCIDAE,CYPRINIDAE,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,,,FALSE,,,eurythermal,FALSE
ETHEOSTOMA,DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,,,FALSE,,,eurythermal,FALSE
ETHEOSTOMA SPECTABILE,ORANGETHROAT DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,SIMPLE NEST; LITHOPHIL,,TRUE,In need of conservation,,eurythermal,FALSE
HYBOGNATHUS,SILVERY MINNOW,CYPRINIDAE,LEUCISCIDAE,HYBOGNATHUS,3,III,3_BETTER,IIIa,3,NATIVE,OM,F,,,FALSE,,,eurythermal,FALSE
LEPOMIS CYANELLUS,GREEN SUNFISH,CENTRARCHIDAE,,LEPOMIS,5,V,5_MIDDLE,V,5,NATIVE,TC,W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=380,eurythermal,FALSE
MICROPTERUS,BLACK BASS,CENTRARCHIDAE,,MICROPTERUS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,,,FALSE,,,eurythermal,FALSE
NOTROPIS STRAMINEUS,SAND SHINER,CYPRINIDAE,LEUCISCIDAE,NOTROPIS,4,IV,4_WORSE,IVb,4.5,NATIVE,IV,B;F,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=600,eurythermal,FALSE
MOXOSTOMA,REDHORSE,CATOSTOMIDAE,,MOXOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,eurythermal,FALSE
NOTROPIS,EASTERN SHINER,CYPRINIDAE,LEUCISCIDAE,NOTROPIS,4,IV,4_BETTER,IVa,4,NATIVE,OM,W,,,FALSE,,,eurythermal,FALSE
NOTURUS,MADTOM,ICTALURIDAE,,NOTURUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,,,FALSE,,,eurythermal,FALSE
NOTURUS FLAVUS,STONECAT,ICTALURIDAE,,NOTURUS,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,COMPLEX NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=745,eurythermal,FALSE
PERCIDAE,PERCHES,PERCIDAE,,PERCIDAE,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,,,FALSE,,,eurythermal,FALSE
PERCINA,ROUGHBELLY DARTERS,PERCIDAE,,PERCINA,4,IV,4_BETTER,IVa,4,NATIVE,OM,,,,FALSE,,,eurythermal,FALSE
PIMEPHALES NOTATUS,BLUNTNOSE MINNOW,CYPRINIDAE,LEUCISCIDAE,PIMEPHALES,4,IV,4_BETTER,IVa,4,NATIVE,OM,,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=620,eurythermal,FALSE
PIMEPHALES PROMELAS,FATHEAD MINNOW,CYPRINIDAE,LEUCISCIDAE,PIMEPHALES,5,V,5_MIDDLE,V,5,NATIVE,OM,,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=621,eurythermal,FALSE
SEMOTILUS ATROMACULATUS,CREEK CHUB,CYPRINIDAE,LEUCISCIDAE,SEMOTILUS,4,IV,4_BETTER,IVa,4,NATIVE,OM,F;W,SIMPLE NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=649,eurythermal,FALSE
AMBLOPLITES RUPESTRIS,ROCK BASS,CENTRARCHIDAE,,AMBLOPLITES,3,III,3_BETTER,IIIa,3,NATIVE,TC,W,COMPLEX NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=373,cowa,FALSE
CAMPOSTOMA OLIGOLEPIS,LARGESCALE STONEROLLER,CYPRINIDAE,LEUCISCIDAE,CAMPOSTOMA,3,III,3_BETTER,IIIa,3,NATIVE,HB,F,SIMPLE NEST; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=507,cowa,FALSE
COTTUS CAROLINAE,BANDED SCULPIN,COTTIDAE,,COTTUS,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,COMPLEX NEST,,FALSE,,,cowa,FALSE
CYPRINELLA SPILOPTERA,SPOTFIN SHINER,CYPRINIDAE,LEUCISCIDAE,CYPRINELLA,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,SIMPLE NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=520,cowa,FALSE
ESOX LUCIUS,NORTHERN PIKE,ESOCIDAE,,ESOX,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=676,cowa,FALSE
ETHEOSTOMA BLENNIOIDES,GREENSIDE DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,SIMPLE NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=808,cowa,FALSE
ETHEOSTOMA CAERULEUM,RAINBOW DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B;F,SIMPLE NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=809,cowa,FALSE
ETHEOSTOMA CRAGINI,ARKANSAS DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,,,TRUE,In need of conservation,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=810,cowa,FALSE
ETHEOSTOMA NIGRUM,JOHNNY DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=814,cowa,FALSE
FUNDULUS CATENATUS,NORTHERN STUDFISH,FUNDULIDAE,,FUNDULUS,3,III,3_BETTER,IIIa,3,NATIVE,IV,W,BROADCASTER; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=683,cowa,FALSE
FUNDULUS OLIVACEUS,BLACKSPOTTED TOPMINNOW,FUNDULIDAE,,FUNDULUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,BROADCASTER,,FALSE,,,cowa,FALSE
HYBOGNATHUS HANKINSONI,BRASSY MINNOW,CYPRINIDAE,LEUCISCIDAE,HYBOGNATHUS,4,IV,4_BETTER,IVa,4,NATIVE,HB,F,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=544,cowa,FALSE
LUXILUS CORNUTUS,COMMON SHINER,CYPRINIDAE,LEUCISCIDAE,LUXILUS,4,IV,4_BETTER,IVa,4,NATIVE,OM,F;W,SIMPLE NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=563,cowa,FALSE
LUXILUS ZONATUS,BLEEDING SHINER,CYPRINIDAE,LEUCISCIDAE,LUXILUS,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,,,FALSE,,,cowa,FALSE
LYTHRURUS UMBRATILIS,REDFIN SHINER,CYPRINIDAE,LEUCISCIDAE,LYTHRURUS,3,III,3_BETTER,IIIa,3,NATIVE,IV,F;W,SIMPLE NEST,,FALSE,,,cowa,FALSE
MOXOSTOMA DUQUESNII,BLACK REDHORSE,CATOSTOMIDAE,,MOXOSTOMA,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL,,TRUE,SCC_Thrtnd,,cowa,FALSE
MOXOSTOMA MACROLEPIDOTUM,SHORTHEAD REDHORSE,CATOSTOMIDAE,,MOXOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=366,cowa,FALSE
NOCOMIS BIGUTTATUS,HORNYHEAD CHUB,CYPRINIDAE,LEUCISCIDAE,NOCOMIS,3,III,3_BETTER,IIIa,3,NATIVE,OM,F;W,LITHOPHIL,,TRUE,SCC_Thrtnd,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=574,cowa,FALSE
NOTEMIGONUS CRYSOLEUCAS,GOLDEN SHINER,CYPRINIDAE,LEUCISCIDAE,NOTEMIGONUS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=579,cowa,FALSE
NOTROPIS NUBILUS,OZARK MINNOW,CYPRINIDAE,LEUCISCIDAE,NOTROPIS,3,III,3_BETTER,IIIa,3,NATIVE,HB,F,SIMPLE NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=603,cowa,FALSE
NOTROPIS PERCOBROMUS,CARMINE SHINER,CYPRINIDAE,LEUCISCIDAE,NOTROPIS,3,III,3_BETTER,IIIa,3,NATIVE,OM,F;W,LITHOPHIL,,FALSE,,,cowa,FALSE
