Taxon_orig,OTU_BCG_ChiroCoarse,modified_BCG_ChiroCoarse,OTU_BCG_ChiroFine
Chironomidae,CHIRONOMIDAE,,CHIRONOMIDAE
Chironomini,CHIRONOMINI,,CHIRONOMINI
Chironomus,CHIRONOMINI,yes,CHIRONOMUS
Chloroperlidae,CHLOROPERLIDAE,,CHLOROPERLIDAE
Chlorotabanus,CHLOROTABANUS,,CHLOROTABANUS
Choroterpes,CHOROTERPES,,CHOROTERPES
Chrysops,CHRYSOPS,,CHRYSOPS
Cladocera,CLADOCERA,,CLADOCERA
Cladopelma,CHIRONOMINI,yes,CLADOPELMA
Cladotanytarsus,TANYTARSINI,yes,CLADOTANYTARSUS
Clathrosperchon,CLATHROSPERCHON,,CLATHROSPERCHON
Climacia,CLIMACIA,,CLIMACIA
Clinocera,CLINOCERA,,CLINOCERA
Clinotanypus,TANYPODINAE,yes,CLINOTANYPUS
Clioperla,CLIOPERLA,,CLIOPERLA
Clioperla clio,CLIOPERLA CLIO,,CLIOPERLA CLIO
Cloeon,CLOEON,,CLOEON
Cnephia,CNEPHIA,,CNEPHIA
Coelotanypus,TANYPODINAE,yes,COELOTANYPUS
Coenagrion/Enallagma,COENAGRION/ENALLAGMA,,COENAGRION/ENALLAGMA
Coenagrionidae,COENAGRIONIDAE,,COENAGRIONIDAE
COLLEMBOLA,COLLEMBOLA,,COLLEMBOLA
Collembola (Collembola),COLLEMBOLA,yes,COLLEMBOLA
Conchapelopia,TANYPODINAE,yes,THIENEMANNIMYIA GROUP
Constempellina,TANYTARSINI,yes,CONSTEMPELLINA
Copelatus,COPELATUS,,COPELATUS
Copepoda,COPEPODA,,COPEPODA
Corbicula,CORBICULA,,CORBICULA
Corbicula fluminea,CORBICULA,yes,CORBICULA
Cordulegaster,CORDULEGASTER/ZORAENA,yes,CORDULEGASTER/ZORAENA
CORDULEGASTER/ZORAENA,CORDULEGASTER/ZORAENA,,CORDULEGASTER/ZORAENA
Corduliidae,CORDULIIDAE,,CORDULIIDAE
corethrella,CORETHRELLA,,CORETHRELLA
Corixidae,CORIXIDAE,,CORIXIDAE
Corticacarus,CORTICACARUS,,CORTICACARUS
Corydalidae,CORYDALIDAE,,CORYDALIDAE
Corydalus,CORYDALUS,,CORYDALUS
Corynoneura,ORTHOCLADIINAE,yes,CORYNONEURA
Crambidae,LEPIDOPTERA,yes,LEPIDOPTERA
Crangonyx,CRANGONYX,,CRANGONYX
Cricotopus,ORTHOCLADIINAE,yes,CRICOTOPUS
Cricotopus/Orthocladius,ORTHOCLADIINAE,yes,CRICOTOPUS/ORTHOCLADIUS
Cryptochironomus,CHIRONOMINI,yes,CRYPTOCHIRONOMUS
Cryptolabis,CRYPTOLABIS,,CRYPTOLABIS
Cryptotendipes,CHIRONOMINI,yes,CRYPTOTENDIPES
Culex,CULEX,,CULEX
Culicidae,CULICIDAE,,CULICIDAE
Culicoides,CERATOPOGONINAE,yes,CERATOPOGONINAE
Curculionidae,CURCULIONIDAE,,CURCULIONIDAE
Cymbiodyta,CYMBIODYTA,,CYMBIODYTA
Cyrnellus,CYRNELLUS,,CYRNELLUS
Cyrnellus fraternus,CYRNELLUS FRATERNUS,,CYRNELLUS FRATERNUS
Dasyhelea,DASYHELEA,,DASYHELEA
Demeijerea,CHIRONOMINI,yes,DEMEIJEREA
Demicryptochironomus,CHIRONOMINI,yes,DEMICRYPTOCHIRONOMUS
Dero,DERO,,DERO
