TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,HABSTRUCT,HABSTRUCT_Full,BioticIndex_MO,BISource_MO,FFG_MO,PrimaryFFG_MO,SecondaryFFG_MO,FFG_Source,FHG_MO,PrimaryHabit_MO,SecondaryHabit_MO,FHG_Source,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus
HETERELMIS,FALSE,4,4_middle,CG,CN,semi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,HETERELMIS
HETEROCERIDAE,FALSE,4,4_worse,,CN,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,HETEROCERIDAE,,,
HETEROCLOEON,FALSE,,,SC,SW,multi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,HETEROCLOEON
HETEROSTERNUTA,FALSE,4,4_middle,PR,SW,NA,TRUE,,,8.9,L****,"Pr,Pi",PR,PI,MC,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HETEROSTERNUTA
HETEROSTERNUTA PULCHRA,FALSE,4,4_middle,PR,SW,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,HETEROSTERNUTA
HETEROSTERNUTA WICKHAMI,FALSE,4,4_middle,PR,SW,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,HETEROSTERNUTA
HETEROTRISSOCLADIUS,FALSE,,,"CG,SC","SP,BU",,FALSE,,,5.4,L,"Ga,Sc",GA,SC,MC,"Sp,Bu",SP,BU,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,HETEROTRISSOCLADIUS
HEXAGENIA,FALSE,4,4_middle,CG,BU,semi,FALSE,NF,pool,4.7,L,"Ga,Fi",GA,FI,MC,Bu,BU,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERIDAE,,,HEXAGENIA
HEXAGENIA ATROCAUDATA,FALSE,4,4_middle,CG,BU,semi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERIDAE,,,HEXAGENIA
HEXAGENIA LIMBATA,FALSE,4,4_middle,CG,BU,semi,FALSE,NF,pool,4.6,KS,"Ga,Fi",GA,FI,MC**,Bu,BU,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,EPHEMERIDAE,,,HEXAGENIA
HEXATOMA,FALSE,3,,PR,BU,uni,FALSE,,,4.7,L,Pr,PR,,MC,"Bu,Sp",BU,SP,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,,HEXATOMA
HIRUDINIDAE,FALSE,,,PR,SP,,FALSE,,,,,,,,,,,,,ANNELIDA,HIRUDINEA,,GNATHOBDELLIDA,HIRUDINIDAE,,,
HYALELLA AZTECA,FALSE,4,4_worse,CG,SP,multi,FALSE,,,7.9,L,Ga,GA,,EPA,,,,,ARTHROPODA,CRUSTACEA,,AMPHIPODA,HYALELLIDAE,,,HYALELLA
HYBOMITRA,FALSE,4,4_middle,PR,SP,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,TABANIDAE,,,HYBOMITRA
HYDATICUS,FALSE,,,PR,SW,uni,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,HYDATICUS
HYDATOPHYLAX,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,LIMNEPHILIDAE,,,HYDATOPHYLAX
HYDRACARINA,TRUE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,ARACHNIDA,,,,,,
HYDRAENA,FALSE,4,4_middle,PR,CN,"multi,uni",TRUE,,,5,KY,Pr,PR,,EPA,"Cg,Cl",CG,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDRAENIDAE,,,HYDRAENA
HYDROBAENUS,FALSE,4,4_worse,SC,SP,uni,FALSE,,,9.6,L,"Sc,Ga",SC,GA,MC,Sp,SP,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,HYDROBAENUS
HYDROBIIDAE,FALSE,4,4_middle,SC,CB,multi,FALSE,,,8,B,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,
HYDROBIUS,FALSE,4,4_worse,PR,"CB,CN",uni,TRUE,,,5,B,Pr,PR,,EPA,"Cl,Cg",CL,CG,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,HYDROBIUS
HYDROCANTHUS,FALSE,,,PR,CB,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,NOTERIDAE,,,HYDROCANTHUS
HYDROCHARA,FALSE,4,4_middle,PR,SW,uni,TRUE,,,6,KS,Pr,PR,,KY,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,HYDROCHARA
HYDROCHUS,FALSE,4,4_worse,SH,"CB,SW",uni,FALSE,SG,snag,4.6,KS,Sh,SH,,MC,Cl,CL,,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROCHIDAE,,,HYDROCHUS
