Taxon orig,OTU_BCG_NortheastLakes_v1,modified_BCG,Slash,Questionable,Notes
Cavinula vincentii Antoniades et Hamilton,Cavinula vincentii,yes,,,
Cavinula vincentii,Cavinula vincentii,no,,,
Chamaepinnularia sp. 1?,Chamaepinnularia,yes,,,
Chamaepinnularia sp. 1 NYNJ DME,Chamaepinnularia,yes,,,
Chamaepinnularia,Chamaepinnularia,no,,,
Chamaepinnularia begeri,Chamaepinnularia begeri,no,,,
Navicula bremensis,Chamaepinnularia bremensis,yes,,,
Chamaepinnularia bremensis,Chamaepinnularia bremensis,no,,,
Chamaepinnularia evanida,Chamaepinnularia evanida,no,,,
Navicula soehrensis var. hassiaca,Chamaepinnularia hassiaca,yes,,,
Chamaepinnularia soehrensis var. hassiaca,Chamaepinnularia hassiaca,yes,,,
Chamaepinnularia hassiaca,Chamaepinnularia hassiaca,no,,,
Chamaepinnularia krookii,Chamaepinnularia krookii,no,,,
Navicula mediocris,Chamaepinnularia mediocris,yes,,,
Chamaepinnularia mediocris (Krasske) Lange-Bertalot,Chamaepinnularia mediocris,yes,,,
Chamaepinnularia mediocris,Chamaepinnularia mediocris,no,,,
Chamaepinnularia muscicola,Chamaepinnularia muscicola,no,,,
Chamaepinnularia parsura,Chamaepinnularia parsura,no,,,
Navicula soehrensis,Chamaepinnularia soehrensis,yes,,,
Chamaepinnularia soehrensis,Chamaepinnularia soehrensis,no,,,
Chamaepinnularia sp. 501 NE Lakes,Chamaepinnularia sp. 501 NE Lakes,no,,,
Chamaepinnularia sp. 506 NE Lakes,Chamaepinnularia sp. 506 NE Lakes,no,,,
Chamaepinnularia vyvermanii,Chamaepinnularia vyvermanii,no,,,
Chamaepinnularia witkowski,Chamaepinnularia witkowskii,yes,,,
Chamaepinnularia witkowskii,Chamaepinnularia witkowskii,no,,,
Cocconeis spp.,Cocconeis,yes,,,
Cocconeis sp. 2 ?,Cocconeis,yes,,,
Cocconeis sp. 1 ?,Cocconeis,yes,,,
Cocconeis,Cocconeis,no,,,
