Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Eukiefferiella Claripennis Gr.,Eukiefferiella Claripennis Group,yes,FORMATTING,Eukiefferiella Claripennis Group,Chironomidae
Eukiefferiella claripennis group,Eukiefferiella Claripennis Group,yes,CAPs,Eukiefferiella Claripennis Group,Chironomidae
Eukiefferiella Coerulescens Gr.,Eukiefferiella Coerulescens Group,yes,FORMATTING,Eukiefferiella Coerulescens Group,Chironomidae
Eukiefferiella coerulescens group,Eukiefferiella Coerulescens Group,yes,CAPs,Eukiefferiella Coerulescens Group,Chironomidae
Eukiefferiella cyanea gr.,Eukiefferiella Cyanea Group,yes,FORMATTING,Eukiefferiella Cyanea Group,Chironomidae
Eukiefferiella Cyanea Group,Eukiefferiella Cyanea Group,no,,Eukiefferiella Cyanea Group,Chironomidae
Eukiefferiella Devonica Gr.,Eukiefferiella Devonica Group,yes,FORMATTING,Eukiefferiella Devonica Group,Chironomidae
Eukiefferiella devonica group,Eukiefferiella Devonica Group,yes,CAPs,Eukiefferiella Devonica Group,Chironomidae
Eukiefferiella Gracei Gr.,Eukiefferiella Gracei Group,yes,FORMATTING,Eukiefferiella Gracei Group,Chironomidae
Eukiefferiella gracei group,Eukiefferiella Gracei Group,yes,CAPs,Eukiefferiella Gracei Group,Chironomidae
Eukiefferiella Pseudomontana Gr.,Eukiefferiella Pseudomontana Group,yes,FORMATTING,Eukiefferiella Pseudomontana Group,Chironomidae
Eukiefferiella pseudomontana group,Eukiefferiella Pseudomontana Group,yes,CAPs,Eukiefferiella Pseudomontana Group,Chironomidae
Eukiefferiella sp.,Eukiefferiella,yes,sp.,Eukiefferiella,Chironomidae
Eukiefferiella tirolensis,Eukiefferiella Tirolensis Group,yes,FORMATTING,Eukiefferiella Tirolensis Group,Chironomidae
Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,no,,Eukiefferiella Tirolensis Group,Chironomidae
Euparyphus,Euparyphus,no,,Euparyphus,Diptera
Euparyphus sp.,Euparyphus,yes,sp.,Euparyphus,Diptera
Euryhapsis,Euryhapsis,no,,Euryhapsis,Chironomidae
