"","Taxon","NonTarget","Habit","Hemoglobin","Air","TolVal2","TolVal","FSBI_2012","BSTI_WA.optima","BCG_attr","FFG","Life_Cycle","Habitat","Noteworthy","LONGLIVED","Thermal_indicator","ThermalPref_ALL","ThermTol_Less30","MTTI_WA.optima","MWMT_WAopt","MWMT_PCT90","Therm_TopIndicator","ThermVar","TSN","Kingdom","Phylum","SubPhylum","Class","SubClass","Order","SubOrder","SuperFamily","Family","SubFamily","Tribe","GenusGroup","Genus","SubGenus","SpeciesGroup","SpeciesSubGroup","SpeciesComplex","Species","Taxon_Group"
"77","Atractelmis",FALSE,"CN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",114251,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Elmidae","Elminae","Elmini","","Atractelmis","","","","","","Coleoptera"
"78","Atractides",FALSE,"UN","U","U",11,8,NA,11.9,"","PR","","",NA,FALSE,"cool","Cool","",19.1,18.54058268,21.95,"","",83282,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Hygrobatidae","","","","Atractides","","","","","","Other Non-Insect"
"79","Attenella",FALSE,"CN","","F",11,2,10,8,"3","CG","uni","RHEO",NA,FALSE,"","Cool","",NA,17.87337689,21.268,"","yes",101338,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Attenella","","","","","","Ephemeroptera"
"80","Attenella delantala",FALSE,"CN","","F",11,3,NA,8,"3","CG","uni","RHEO",NA,FALSE,"cool","Cool","",17.5,17.3517978,20.108,"","",101345,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Attenella","","","","","delantala","Ephemeroptera"
"81","Attenella margarita",FALSE,"CN","F","F",1,3,15,8,"4","CG","uni","RHEO",NA,FALSE,"cowa","Cool-Warm","",20.2,19.95437169,22.87,"","",101343,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Attenella","","","","","margarita","Ephemeroptera"
"82","Aturidae",FALSE,"UN","","",11,NA,NA,NA,"","PR","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",82973,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Aturidae","","","","","","","","","","Other Non-Insect"
"83","Aturus",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",82974,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Aturidae","","","","Aturus","","","","","","Other Non-Insect"
"84","Aulodrilus",FALSE,"UN","T","F",11,10,NA,46.5,"","","","",NA,FALSE,"warm","Warm","",21,23.30042623,25.831,"","",68679,"Animalia","Annelida","","Clitellata","Oligochaeta","Tubificida","","","Naididae","Tubificinae","","","Aulodrilus","","","","","","Oligochaeta"
"85","Austrolimnophila",FALSE,"UN","","",NA,NA,NA,NA,NA,"UNKN","uni","UNKN",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",120037,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Limnophilinae","","","Austrolimnophila","","","","","","Diptera"
"86","Baetidae",FALSE,"SW","","F",11,4,NA,NA,"4","CG","multi","UNKN",NA,FALSE,"","Eurythermal","",NA,17.21110442,22.35,"","yes",100755,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","","","","","","","Ephemeroptera"
