Taxon_Group,Taxon_orig,Taxon_v2,OTU_MTTI_jan23,Changed,Rationale,NonTarget,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Oligochaeta,Arcteonais,Arcteonais,Naidinae,no,,FALSE,Oligochaeta,68975,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Arcteonais,,,,,
Oligochaeta,Chaetogaster,Chaetogaster,Naidinae,no,,FALSE,Oligochaeta,68934,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Chaetogaster,,,,,
Oligochaeta,Dero,Dero,Naidinae,no,,FALSE,Oligochaeta,68898,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Dero,,,,,
Oligochaeta,Haemonais,Haemonais,Naidinae,no,,FALSE,Oligochaeta,69003,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Haemonais,,,,,
Oligochaeta,Nais,Nais,Naidinae,no,,FALSE,Oligochaeta,68946,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Nais,,,,,
Oligochaeta,Nais communis,Nais,Naidinae,yes,,FALSE,Oligochaeta,68946,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Nais,,,,,
Oligochaeta,Nais variabilis,Nais,Naidinae,yes,,FALSE,Oligochaeta,68946,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Nais,,,,,
Oligochaeta,Ophidonais,Ophidonais,Naidinae,no,,FALSE,Oligochaeta,68995,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Ophidonais,,,,,
Oligochaeta,Ophidonais serpentina,Ophidonais,Naidinae,yes,,FALSE,Oligochaeta,68995,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Ophidonais,,,,,
Oligochaeta,Paranais,Paranais,Naidinae,no,,FALSE,Oligochaeta,68862,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Paranais,,,,,
