TAXAID,FAMILY,GENUS,COMMONNAME,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION
ETHEOSTOMA FLABELLARE LINEOLATUM,PERCIDAE,ETHEOSTOMA,STRIPED FANTAIL DARTER,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,
ETHEOSTOMA FUSIFORME,PERCIDAE,ETHEOSTOMA,SWAMP DARTER,,,,,,,,,
ETHEOSTOMA GRACILE,PERCIDAE,ETHEOSTOMA,SLOUGH DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST
ETHEOSTOMA HISTRIO,PERCIDAE,ETHEOSTOMA,HARLEQUIN DARTER,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,COMPLEX NEST
ETHEOSTOMA MICROPERCA,PERCIDAE,ETHEOSTOMA,LEAST DARTER,3,III,3_BETTER,IIIa,3,NATIVE,IV,B,COMPLEX NEST; MIGRATORY
ETHEOSTOMA MIHILEZE,PERCIDAE,ETHEOSTOMA,SUNBURST DARTER,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,
ETHEOSTOMA NIANGUAE,PERCIDAE,ETHEOSTOMA,NIANGUA DARTER,,,,,,,,,
ETHEOSTOMA NIGRUM,PERCIDAE,ETHEOSTOMA,JOHNNY DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST
ETHEOSTOMA PARVIPINNE,PERCIDAE,ETHEOSTOMA,GOLDSTRIPE DARTER,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,
ETHEOSTOMA PROELIARE,PERCIDAE,ETHEOSTOMA,CYPRESS DARTER,,,,,,NATIVE,IV,B,SIMPLE NEST
ETHEOSTOMA PUNCTULATUM,PERCIDAE,ETHEOSTOMA,STIPPLED DARTER,3,III,3_MIDDLE,III,3,NATIVE,IV,B,
ETHEOSTOMA RADIOSUM,PERCIDAE,ETHEOSTOMA,ORANGEBELLY DARTER,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B;F,LITHOPHIL
ETHEOSTOMA SPECTABILE,PERCIDAE,ETHEOSTOMA,ORANGETHROAT DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,SIMPLE NEST; LITHOPHIL
