Taxon_Group,Taxon_Orig_Common,Taxon_Orig_Sci,NonTarget,source_MPCA,source_RedLake,Comment,FishTaxaID,OTU_BCG_Common,OTU_IBI_Common,OTU_BCG_Sci,OTU_IBI_Sci,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species
,creek chub,Semotilus atromaculatus  ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Creek chub,Creek chub,Semotilus atromaculatus,Semotilus atromaculatus,Semotilus atromaculatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,atromaculatus
,fantail darter,Etheostoma flabellare ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Fantail darter,Fantail darter,Etheostoma flabellare,Etheostoma flabellare,Etheostoma flabellare,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,flabellare
,fathead minnow,Pimephales promelas  ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Fathead minnow,Fathead minnow,Pimephales promelas,Pimephales promelas,Pimephales promelas,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas
,gizzard shad,Dorosoma cepedianum ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Gizzard shad,Gizzard shad,Dorosoma cepedianum,Dorosoma cepedianum,Dorosoma cepedianum,Animalia,Chordata,Osteichthyes,,Clupeidae,Dorosoma,cepedianum
,golden redhorse,Moxostoma erythrurum ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Golden redhorse,Golden redhorse,Moxostoma erythrurum,Moxostoma erythrurum,Moxostoma erythrurum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,erythrurum
,golden shiner,Notemigonus crysoleucas ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Golden shiner,Golden shiner,Notemigonus crysoleucas,Notemigonus crysoleucas,Notemigonus crysoleucas,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas
,goldfish,Carassius auratus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Goldfish,Goldfish,Carassius auratus,Carassius auratus,Carassius auratus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Carassius,auratus
,green sunfish,Lepomis cyanellus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Green sunfish,Green sunfish,Lepomis cyanellus,Lepomis cyanellus,Lepomis cyanellus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,cyanellus
,johnny darter,Etheostoma nigrum  ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Johnny darter,Johnny darter,Etheostoma nigrum,Etheostoma nigrum,Etheostoma nigrum,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,nigrum
,largemouth bass,Micropterus salmoides ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Largemouth bass,Largemouth bass,Micropterus salmoides,Micropterus salmoides,Micropterus salmoides,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,salmoides
,logperch,Percina caprodes ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Logperch,Logperch,Percina caprodes,Percina caprodes,Percina caprodes,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,caprodes
,longnose dace,Rhinichthys cataractae ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Longnose dace,Longnose dace,Rhinichthys cataractae,Rhinichthys cataractae,Rhinichthys cataractae,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,cataractae
,longnose gar,Lepisosteus osseus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Longnose gar,Longnose gar,Lepisosteus osseus,Lepisosteus osseus,Lepisosteus osseus,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus
,mottled sculpin,Cottus bairdi ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Mottled sculpin,Mottled sculpin,Cottus bairdi,Cottus bairdi,Cottus bairdi,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,bairdi
,northern hogsucker,Hypentelium nigricans ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Northern hogsucker,Northern hogsucker,Hypentelium nigricans,Hypentelium nigricans,Hypentelium nigricans,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Hypentelium,nigricans
,northern pike,Esox lucius  ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Northern pike,Northern pike,Esox lucius,Esox lucius,Esox lucius,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,lucius
,pirate perch,Aphredoderus sayanus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Pirate perch,Pirate perch,Aphredoderus sayanus,Aphredoderus sayanus,Aphredoderus sayanus,Animalia,Chordata,Osteichthyes,Percopsiformes,Aphredoderidae,Aphredoderus,sayanus
,pumpkinseed,Lepomis gibbosus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Pumpkinseed,Pumpkinseed,Lepomis gibbosus,Lepomis gibbosus,Lepomis gibbosus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gibbosus
,rainbow trout,Oncorhynchus mykiss ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Rainbow trout,Rainbow trout,Oncorhynchus mykiss,Oncorhynchus mykiss,Oncorhynchus mykiss,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
,rock bass,Ambloplites rupestris ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Rock bass,Rock bass,Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris
,shorthead redhorse,Moxostoma macrolepidotum ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Shorthead redhorse,Shorthead redhorse,Moxostoma macrolepidotum,Moxostoma macrolepidotum,Moxostoma macrolepidotum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,macrolepidotum
,slimy sculpin,Cottus cognatus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Slimy Sculpin,Slimy Sculpin,Cottus cognatus,Cottus cognatus,Cottus cognatus,Animalia,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Cottus,cognatus
,smallmouth bass,Micropterus dolomieu ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Smallmouth bass,Smallmouth bass,Micropterus dolomieu,Micropterus dolomieu,Micropterus dolomieu,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,dolomieu
,spotfin shiner,Cyprinella spiloptera ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Spotfin shiner,Spotfin shiner,Cyprinella spiloptera,Cyprinella spiloptera,Cyprinella spiloptera,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,spiloptera
,spottail shiner,Notropis hudsonius ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Spottail shiner,Spottail shiner,Notropis hudsonius,Notropis hudsonius,Notropis hudsonius,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,hudsonius
,stonecat,Noturus flavus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Stonecat,Stonecat,Noturus flavus,Noturus flavus,Noturus flavus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,flavus
,tadpole madtom,Noturus gyrinus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Tadpole madtom,Tadpole madtom,Noturus gyrinus,Noturus gyrinus,Noturus gyrinus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,gyrinus
,warmouth,Lepomis gulosus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Warmouth,Warmouth,Lepomis gulosus,Lepomis gulosus,Lepomis gulosus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus
,white crappie,Pomoxis annularis ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,White crappie,White crappie,Pomoxis annularis,Pomoxis annularis,Pomoxis annularis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis
,white sucker,Catostomus commersonii,,"MN, case",,"add ""i"" to end of Taxon_Orig_Sci so not a duplicate",,White sucker,White sucker,Catostomus commersoni,Catostomus commersoni,Catostomus commersoni,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,commersoni
,yellow bullhead,Ameiurus natalis ,,"MN, case",,,,Yellow bullhead,Yellow bullhead,Ameiurus natalis,Ameiurus natalis,Ameiurus natalis,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,natalis
,yellow perch,Perca flavescens  ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Yellow perch,Yellow perch,Perca flavescens,Perca flavescens,Perca flavescens,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens
,eastern blacknose dace,Rhinichthys atratulus,,,AWQMS_Fish_Data_Export,,,eastern blacknose dace,eastern blacknose dace,Rhinichthys atratulus,Rhinichthys atratulus,Rhinichthys atratulus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,atratulus
,Gen: lamprey,Ichthyomyzon,,,AWQMS_Fish_Data_Export,,,Fam: lamprey,Fam: lamprey,Ichthyomyzon,Ichthyomyzon,Petromyzontidae,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,,
