Taxon_Group,Taxon_orig,NonTarget,Rationale,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank
,,,MN Access db,58,Ilyodrilus templetoni,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68662,68660,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Ilyodrilus,,Ilyodrilus templetoni,,Species
,,,MN Access db,59,Isochaetides curvisetosus,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68809,68808,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Isochaetides,,Isochaetides curvisetosus,,Species
,,,MN Access db,60,Limnodrilus,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68638,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Limnodrilus,,,,Genus
,,,MN Access db,61,Limnodrilus hoffmeisteri,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68639,68638,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Limnodrilus,,Limnodrilus hoffmeisteri,,Species
,,,MN Access db,62,Peloscolex,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68588,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Peloscolex,,,,Genus
,,,MN Access db,63,Quistradrilus,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68793,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Quistradrilus,,,,Genus
,,,MN Access db,64,Spirosperma,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68780,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Spirosperma,,,,Genus
,,,MN Access db,65,Spirosperma ferox,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68610,68780,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Spirosperma,,Spirosperma ferox,,Species
,,,MN Access db,66,Tubifex,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68622,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Tubifex,,,,Genus
,,,MN Access db,67,Tubifex tubifex,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68623,68622,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Tubifex,,tubifex,,Species
,,,MN Access db,68,Lumbriculida,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68439,68422,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,,,,,,,Order
,,,MN Access db,69,Lumbriculidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68440,68439,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,Lumbriculidae,,,,,,,Family
,,,MN Access db,70,Lumbriculidae/Lumbricidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,,,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,Lumbriculidae/Lumbricidae,,,,,,,Family
,,,MN Access db,71,Megadrile,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,,,Annelida,,Clitellata,Oligochaeta,,Lumbricina,,,,,,,,SubClass
,,,MN Access db,72,Crustacea,Pisidiidae,Pisidiidae,Pisidiidae,NA,NA,NA,83677,82696,Mollusca,Crustacea,Bivalvia,Heterodonta,Veneroida,,Pisidiidae,,,,,,,Class
,,,MN Access db,73,Acari,Acari,Acari,Acari,Acari,Acari,Acari,,,Arthropoda,,Arachnida,Acarina,,,,,,,,,,SubClass
,,,MN Access db,75,Acariformes,Acari,Acari,Acari,NA,NA,NA,690740,82754,Arthropoda,,Arachnida,Acarina,Acariformes,,,,,,,,,Order
,,,MN Access db,76,Hydryphantoidea,Acari,Acari,Acari,NA,NA,NA,,,Arthropoda,,Arachnida,Acarina,Acariformes,Hydryphantoidea,,,,,,,,SubOrder
,,,MN Access db,77,Oribatida,Acari,Acari,Acari,NA,NA,NA,,,Arthropoda,,Arachnida,Acarina,Acariformes,Oribatida,,,,,,,,SubOrder
,,,MN Access db,78,Hydrozetidae,Acari,Acari,Acari,NA,NA,NA,553091,83544,Arthropoda,,Arachnida,Acarina,Sarcoptiformes,Oribatei,Hydrozetidae,,,,,,,Family
,,,MN Access db,79,Trombidiformes,Acari,Acari,Acari,NA,NA,NA,82769,82754,Arthropoda,,Arachnida,Acarina,Trombidiformes,,,,,,,,,Order
,,,MN Access db,80,Anisitsiellidae,Acari,Acari,Acari,NA,NA,NA,83531,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Anisitsiellidae,,,,,,,Family
,,,MN Access db,81,Arrenuridae,Acari,Acari,Acari,NA,NA,NA,82862,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Arrenuridae,,,,,,,Family
,,,MN Access db,82,Arrenurus,Acari,Acari,Acari,NA,NA,NA,82864,82862,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Arrenuridae,,,Arrenurus,,,,Genus
,,,MN Access db,83,Arrenurus problecornis,Acari,Acari,Acari,NA,NA,NA,205791,82864,Arthropoda,,Arachnida,Acarina,Trombidiformes,,Arrenuridae,,,Arrenurus,,Arrenurus problecornis,,Species
,,,MN Access db,84,Hydrobatidae,Acari,Acari,Acari,NA,NA,NA,174619,174770,Arthropoda,,Arachnida,Acarina,Trombidiformes,,Hydrobatidae,,,,,,,Family
,,,MN Access db,85,Hygrobatidae,Acari,Acari,Acari,NA,NA,NA,83281,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hygrobatidae,,,,,,,Family
