Taxon_Group,BenTaxaID,FinalID,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank,TolVal,TolValSource,FFG,FFGSource,Habit,HabitSource,InBenthics,AdminCheck,DateNameRevised,EnterDate,Comments,Terrestrial,BCG_Attr,data_MN,BCG_Attr_NLF,BCG_Attr_Driftless,BCG_Attr_MN,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9
,86,Pionidae,83330,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Pionidae,,,,,,,Family,,WSA,PR,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,87,Rhynchohydracaridae,,,Arthropoda,,Arachnida,Acarina,Trombidiformes,,Rhynchohydracaridae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,88,Sperchontidae,83005,,Arthropoda,,Arachnida,Acarina,Trombidiformes,,Sperchontidae,,,,,,,Family,,WSA,PR,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,89,Torrenticolidae,83249,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Torrenticolidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,90,Unionicolidae,83072,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Unionicolidae,,,,,,,Family,,WSA,PR,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,91,Hydracarina,,,Arthropoda,,Arachnida,Acarina,Trombidiformes,Hydracarina,,,,,,,,SubOrder,6,WSA,PR,WSA,CB,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,92,Aturidae,82973,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Aturidae,,,,,,,Family,,WSA,,WSA,CB,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,93,Axonopsidae,83434,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Axonopsidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,94,Clathrosperchon,83177,83176,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Clathrosperchonidae,,,Clathrosperchon,,,,Genus,,WSA,PR,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,95,Feltriidae,83313,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Feltriidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,96,Hydrachnidae,83122,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydrachnidae,,,,,,,Family,6,WSA,PR,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,x,x
,97,Hydrachna,83123,83122,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydrachnidae,,,Hydrachna,,,,Genus,,WSA,PR,RBP2 1999,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,98,Hydrodromidae,83224,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydrodromidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,99,Hydrodroma,83225,83224,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydrodromidae,,,Hydrodroma,,,,Genus,,WSA,PR,RBP2 1999,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,100,Hydryphantidae,83212,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hydryphantidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,101,Atractides,83282,83281,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hygrobatidae,,,Atractides,,,,Genus,8,WSA,PR,RBP2 1999,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,102,Hygrobates,83297,83281,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hygrobatidae,,,Hygrobates,,,,Genus,,WSA,PR,RBP2 1999,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,x,x
