TaxaID_orig,OTU_BCG,Modified,Rationale,Notes_ORWA,NM_FINALID,RANK,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,GENUS,SUBGENUS,SPECIES,SUBSPECIES
Glossosomatidae,Glossosomatidae,FALSE,,,Glossosomatidae,Family,Arthropoda,,Insecta,,Trichoptera,Spicipalpia,,Glossosomatoidea,Glossosomatidae,,,,,,
Glossosomatinae,Glossosomatinae,FALSE,,,Glossosomatinae,SubFamily,Arthropoda,,Insecta,,Trichoptera,,,Glossosomatoidea,Glossosomatidae,Glossosomatinae,,,,,
Glossosomatini,Glossosomatini,FALSE,,,Glossosomatini,Tribe,Arthropoda,,Insecta,,Trichoptera,,,Glossosomatoidea,Glossosomatidae,Glossosomatinae,Glossosomatini,,,,
Glossosomatoidea,Glossosomatoidea,FALSE,,TOO COARSE,Glossosomatoidea,SuperFamily,Arthropoda,,Insecta,,Trichoptera,,,Glossosomatoidea,,,,,,,
GLYPTOTENDIPES,Glyptotendipes,TRUE,formatting - CAPS,,Glyptotendipes,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Chironominae,Chironomini,Glyptotendipes,,,
Glyptotendipes barbipes,Glyptotendipes barbipes,FALSE,,,Glyptotendipes barbipes,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Chironominae,Chironomini,Glyptotendipes,,barbipes,
Goeldichironomus,Goeldichironomus,FALSE,,,Goeldichironomus,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Chironominae,Chironomini,Goeldichironomus,,,
Goeldichironomus holoprasinus,Goeldichironomus holoprasinus,FALSE,,,Goeldichironomus holoprasinus,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Chironominae,Chironomini,Goeldichironomus,,holoprasinus,
Gomphidae,Gomphidae,FALSE,,,Gomphidae,Family,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Gomphidae,,,,,,
GOMPHUS,Gomphus,TRUE,formatting - CAPS,,Gomphus,Genus,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Gomphidae,,,Gomphus,,,
Gomphus (Gomphurus),Gomphus (Gomphurus),FALSE,,,Gomphus (Gomphurus),SubGenus,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Gomphidae,,,Gomphus,Gomphurus,,
Gomphus (Gomphurus) externus,Gomphus externus,TRUE,formatting - removed subgenus,,Gomphus (Gomphurus) externus,Species,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Gomphidae,,,Gomphus,Gomphurus,externus,
Gomphus (Gomphus),Gomphus (Gomphus),FALSE,,,Gomphus (Gomphus),SubGenus,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Gomphidae,,,Gomphus,Gomphus,,
Gomphus (Gomphus) militaris,Gomphus militaris,TRUE,formatting - removed subgenus,,Gomphus (Gomphus) militaris,Species,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Gomphidae,,,Gomphus,Gomphus,militaris,
Gomphus externus,Gomphus externus,FALSE,,,Gomphus (Gomphurus) externus,Species,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Gomphidae,,,Gomphus,Gomphurus,externus,
Gomphus militaris,Gomphus militaris,FALSE,,,Gomphus (Gomphus) militaris,Species,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Gomphidae,,,Gomphus,Gomphus,militaris,
Gonomyia,Gonomyia,FALSE,,,,Genus,Arthropoda,,Insecta,,Diptera,,,,Tipulidae,,,,,,
Gordiidae,Gordiidae,FALSE,,,Gordiidae,Family,Nematomorpha,,Gordioida,,Gordioidea,,,,Gordiidae,,,,,,
Gordioidea,Gordioidea,FALSE,,,Gordioidea,Order,Nematomorpha,,Gordioida,,Gordioidea,,,,,,,,,,
Gordius,Gordius,FALSE,,,Gordius,Genus,Nematomorpha,,Gordioida,,Gordioidea,,,,Gordiidae,,,Gordius,,,
Grammotaulius,Grammotaulius,FALSE,,,Grammotaulius,Genus,Arthropoda,,Insecta,,Trichoptera,,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,Grammotaulius,,,
Graptocorixa,Graptocorixa,FALSE,,Excluded as water column or surface dwellers,Graptocorixa,Genus,Arthropoda,,Insecta,,Hemiptera,,,,Corixidae,Corixinae,,Graptocorixa,,,
Gryllidae,Gryllidae,FALSE,,,Gryllidae,Family,Arthropoda,,Insecta,,Orthoptera,Ensifera,,,Gryllidae,,,,,,
Gumaga,Gumaga,FALSE,,,Gumaga,Genus,Arthropoda,,Insecta,,Trichoptera,,,Sericostomatoidea,Sericostomatidae,,,Gumaga,,,
Gyraulus,Gyraulus,FALSE,,,Gyraulus,Genus,Mollusca,,Gastropoda,,Basommatophora,,,,Planorbidae,,,Gyraulus,,,
Gyraulus circumstriatus,Gyraulus circumstriatus,FALSE,,,Gyraulus circumstriatus,Species,Mollusca,,Gastropoda,,Basommatophora,,,,Planorbidae,,,Gyraulus,,circumstriatus,
Gyraulus parvus,Gyraulus parvus,FALSE,,,Gyraulus parvus,Species,Mollusca,,Gastropoda,,Basommatophora,,,,Planorbidae,,,Gyraulus,,parvus,
Gyretes,Gyretes,FALSE,,,Gyretes,Genus,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Gyrinidae,,,Gyretes,,,
Gyrinidae,Gyrinidae,FALSE,,,Gyrinidae,Family,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Gyrinidae,,,,,,
Gyrininae,Gyrininae,FALSE,,,Gyrininae,SubFamily,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Gyrinidae,Gyrininae,,,,,
Gyrinini,Gyrinini,FALSE,,,Gyrinini,Tribe,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Gyrinidae,Gyrininae,Gyrinini,,,,
Gyrinus,Gyrinus,FALSE,,,Gyrinus,Genus,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Gyrinidae,Gyrininae,Gyrinini,Gyrinus,,,
Gyrinus bifarius,Gyrinus bifarius,FALSE,,,Gyrinus bifarius,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Gyrinidae,Gyrininae,Gyrinini,Gyrinus,,bifarius,
